,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
32,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
33,Return_to_owner,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
34,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
35,Euthanasia,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
36,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
37,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
38,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
39,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
40,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
41,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
42,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
43,Transfer,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
44,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
45,Return_to_owner,Dog,Neutered Male,12 years,Beagle,Tricolor
46,Return_to_owner,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
47,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
48,Adoption,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
49,Euthanasia,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
50,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
51,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
52,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
53,Adoption,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
54,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
55,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
56,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
57,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
58,Return_to_owner,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
59,Adoption,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
60,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
61,Euthanasia,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
62,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
63,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
64,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
65,Return_to_owner,Dog,Spayed Female,6 years,Maltese Mix,White
66,Transfer,Dog,Neutered Male,6 months,Pointer Mix,Black/White
67,Transfer,Dog,Intact Female,2 months,English Foxhound,Buff
68,Transfer,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
69,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
70,Adoption,Dog,Neutered Male,2 months,Vizsla Mix,Brown
71,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
72,Adoption,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
73,Return_to_owner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
74,Return_to_owner,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
75,Transfer,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
76,Adoption,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
77,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
78,Adoption,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
79,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
80,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
81,Euthanasia,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
82,Transfer,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
83,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
84,Euthanasia,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
85,Adoption,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
86,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
87,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
88,Transfer,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
89,Adoption,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
90,Adoption,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
91,Adoption,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
92,Transfer,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
93,Euthanasia,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
94,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
95,Adoption,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
96,Transfer,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
97,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
98,Transfer,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
99,Adoption,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
100,Adoption,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
101,Transfer,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
102,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
103,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
104,Transfer,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
105,Return_to_owner,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
106,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
107,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
108,Adoption,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
109,Return_to_owner,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
110,Return_to_owner,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
111,Euthanasia,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
112,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
113,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
114,Transfer,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
115,Euthanasia,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
116,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
117,Transfer,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
118,Transfer,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
119,Return_to_owner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
120,Return_to_owner,Dog,Neutered Male,5 years,Dachshund Mix,Black
121,Adoption,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
122,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
123,Euthanasia,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
124,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
125,Adoption,Dog,Neutered Male,5 years,Pit Bull,Black
126,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
127,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
128,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
129,Return_to_owner,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
130,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
131,Return_to_owner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
132,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
133,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
134,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
135,Transfer,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
136,Return_to_owner,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
137,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
138,Transfer,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
139,Adoption,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
140,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
141,Adoption,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
142,Transfer,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
143,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
144,Adoption,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
145,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
146,Adoption,Dog,Spayed Female,1 year,Dachshund Mix,Tan
147,Transfer,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
148,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
149,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
150,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
151,Adoption,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
152,Transfer,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
153,Return_to_owner,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
154,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Red
155,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
156,Adoption,Cat,Spayed Female,4 months,Domestic Longhair,Calico
157,Transfer,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
158,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
159,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
160,Transfer,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
161,Adoption,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
162,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
163,Adoption,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
164,Adoption,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
165,Return_to_owner,Dog,Spayed Female,8 years,Maltese,White
166,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
167,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
168,Return_to_owner,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
169,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
170,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
171,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
172,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
173,Transfer,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
174,Adoption,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
175,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
176,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
177,Adoption,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
178,Return_to_owner,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
179,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White
180,Return_to_owner,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
181,Transfer,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
182,Return_to_owner,Dog,Spayed Female,1 year,Pointer Mix,White/Black
183,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
184,Transfer,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
185,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
186,Adoption,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
187,Transfer,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby
188,Transfer,Dog,Spayed Female,4 years,German Shepherd Mix,White
189,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
190,Transfer,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
191,Adoption,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
192,Adoption,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
193,Adoption,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
194,Adoption,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
195,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby
196,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
197,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
198,Adoption,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
199,Return_to_owner,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
200,Transfer,Cat,Unknown,1 year,Domestic Longhair Mix,Black
201,Return_to_owner,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
202,Adoption,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
203,Euthanasia,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
204,Adoption,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
205,Adoption,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
206,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
207,Return_to_owner,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
208,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
209,Transfer,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
210,Transfer,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
211,Adoption,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
212,Adoption,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
213,Adoption,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
214,Return_to_owner,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
215,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
216,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
217,Transfer,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
218,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
219,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
220,Transfer,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
221,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
222,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
223,Transfer,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
224,Adoption,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
225,Adoption,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
226,Adoption,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
227,Euthanasia,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black
228,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black
229,Transfer,Dog,Spayed Female,5 years,Great Dane,Black/White
230,Return_to_owner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White
231,Return_to_owner,Dog,Neutered Male,2 years,Chesa Bay Retr,Brown
232,Return_to_owner,Dog,Neutered Male,7 years,German Shepherd,Brown/Black
233,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
234,Adoption,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black/White
235,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
236,Return_to_owner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/Black
237,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
238,Return_to_owner,Dog,Spayed Female,6 years,Plott Hound Mix,Brown Brindle
239,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
240,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black
241,Adoption,Cat,Neutered Male,7 years,Siamese Mix,Flame Point
242,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
243,Adoption,Dog,Neutered Male,3 years,Chow Chow Mix,Red
244,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
245,Adoption,Dog,Spayed Female,7 years,English Pointer,Liver/White
246,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Blue Tabby
247,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
248,Return_to_owner,Dog,Intact Female,5 months,Boxer Mix,Black/White
249,Transfer,Dog,Neutered Male,4 years,Basset Hound/Labrador Retriever,Black/White
250,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Buff
251,Transfer,Dog,Spayed Female,7 years,Airedale Terrier Mix,Tricolor
252,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Brown
253,Transfer,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
254,Adoption,Dog,Neutered Male,1 month,Beagle/German Shepherd,Black/Brown
255,Adoption,Cat,Neutered Male,2 months,Manx Mix,White/Black
256,Transfer,Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue
257,Transfer,Dog,Spayed Female,4 years,Chihuahua Shorthair/Rat Terrier,Tan/White
258,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
259,Adoption,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black/White
260,Transfer,Dog,Spayed Female,10 years,Cocker Spaniel,Buff
261,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
262,Adoption,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Tan
263,Adoption,Cat,Spayed Female,2 years,Domestic Longhair Mix,Brown Tabby/White
264,Return_to_owner,Dog,Spayed Female,7 years,Rat Terrier Mix,White/Black
265,Adoption,Dog,Neutered Male,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black
266,Transfer,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White
267,Return_to_owner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/Gray
268,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
269,Euthanasia,Dog,Spayed Female,7 years,Pit Bull Mix,Tan/White
270,Adoption,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Black
271,Adoption,Dog,Neutered Male,1 year,Jack Russell Terrier/Dachshund,White/Brown
272,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby
273,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
274,Return_to_owner,Dog,Neutered Male,5 years,German Shepherd,Black/Brown
275,Return_to_owner,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Tan
276,Adoption,Dog,Neutered Male,10 months,Siberian Husky Mix,White/Cream
277,Transfer,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black
278,Adoption,Dog,Neutered Male,9 months,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White
279,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
280,Transfer,Cat,Unknown,0 years,Domestic Shorthair Mix,Blue
281,Transfer,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
282,Adoption,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Chocolate/White
283,Transfer,Dog,Intact Male,1 year,Cairn Terrier Mix,Cream
284,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
285,Return_to_owner,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
286,Return_to_owner,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Chocolate/White
287,Return_to_owner,Dog,Neutered Male,7 years,Labrador Retriever Mix,Chocolate
288,Adoption,Dog,Neutered Male,2 years,Shih Tzu,Gray/White
289,Transfer,Dog,Spayed Female,6 months,Plott Hound Mix,Brown Brindle
290,Adoption,Dog,Neutered Male,11 months,Australian Shepherd Mix,Tan/White
291,Adoption,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
292,Transfer,Cat,Intact Female,2 months,Domestic Longhair Mix,Black/White
293,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White
294,Euthanasia,Cat,Intact Female,4 weeks,Siamese Mix,Blue Point
295,Euthanasia,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
296,Adoption,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Orange Tabby
297,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
298,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown/White
299,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
300,Euthanasia,Dog,Intact Male,2 years,Labrador Retriever/Great Dane,Tan/Black
301,Return_to_owner,Dog,Neutered Male,6 years,Dachshund Mix,Brown
302,Transfer,Dog,Spayed Female,11 months,Boxer Mix,Brown Brindle/White
303,Transfer,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White
304,Transfer,Dog,Neutered Male,4 years,Shih Tzu/Miniature Poodle,Apricot/White
305,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue/White
306,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Red
307,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red Merle/Black
308,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black
309,Adoption,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
310,Return_to_owner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
311,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
312,Transfer,Dog,Intact Male,2 months,Australian Cattle Dog Mix,White/Brown
313,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
314,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
315,Adoption,Dog,Neutered Male,4 years,German Shepherd Mix,Brown
316,Transfer,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
317,Adoption,Dog,Spayed Female,2 years,Pointer Mix,Chocolate/White
318,Transfer,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Calico
319,Transfer,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black/Gray
320,Return_to_owner,Dog,Spayed Female,10 years,Collie Smooth/Chow Chow,Sable
321,Transfer,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White
322,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Calico
323,Adoption,Dog,Neutered Male,6 months,Cocker Spaniel Mix,Sable
324,Return_to_owner,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tricolor
325,Adoption,Dog,Neutered Male,6 months,Labrador Retriever Mix,Buff
326,Transfer,Cat,Intact Male,3 months,Siamese Mix,Seal Point
327,Adoption,Dog,Spayed Female,1 year,Rottweiler/Labrador Retriever,Black/Tan
328,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/Black
329,Adoption,Dog,Neutered Male,2 months,Boxer Mix,Tricolor
330,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
331,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
332,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
333,Return_to_owner,Cat,Neutered Male,9 months,Domestic Shorthair Mix,White/Brown Tabby
334,Transfer,Dog,Spayed Female,4 years,Rat Terrier Mix,Black/White
335,Adoption,Dog,Neutered Male,4 months,German Shepherd/Siberian Husky,Red/White
336,Transfer,Cat,Intact Male,3 days,Domestic Shorthair Mix,White
337,Transfer,Dog,Intact Male,6 years,Dachshund,Blue Merle/White
